year,state,month,number,date
2011,Espirito Santo,April,5,1/1/2011
2012,Espirito Santo,April,35,1/1/2012
2013,Espirito Santo,April,13,1/1/2013
2014,Espirito Santo,April,15,1/1/2014
2015,Espirito Santo,April,25,1/1/2015
2016,Espirito Santo,April,107,1/1/2016
2017,Espirito Santo,April,9,1/1/2017
1998,Espirito Santo,April,0,1/1/1998
1999,Espirito Santo,April,2,1/1/1999
2000,Espirito Santo,April,3,1/1/2000
2001,Espirito Santo,April,2,1/1/2001
2002,Espirito Santo,April,2,1/1/2002
2003,Espirito Santo,April,22,1/1/2003
2004,Espirito Santo,April,0,1/1/2004
2005,Espirito Santo,April,4,1/1/2005
2006,Espirito Santo,April,1,1/1/2006
2007,Espirito Santo,April,2,1/1/2007
2008,Espirito Santo,April,8,1/1/2008
2009,Espirito Santo,April,8,1/1/2009
2010,Espirito Santo,April,7,1/1/2010
2011,Espirito Santo,April,3,1/1/2011
2012,Espirito Santo,April,74,1/1/2012
2013,Espirito Santo,April,16,1/1/2013
2014,Espirito Santo,April,15,1/1/2014
2015,Espirito Santo,April,33,1/1/2015
2016,Espirito Santo,April,57,1/1/2016
2017,Espirito Santo,April,7,1/1/2017
1998,Espirito Santo,April,0,1/1/1998
1999,Espirito Santo,April,16,1/1/1999
2000,Espirito Santo,April,2,1/1/2000
2001,Espirito Santo,April,8,1/1/2001
2002,Espirito Santo,April,5,1/1/2002
2003,Espirito Santo,April,1,1/1/2003
2004,Espirito Santo,April,0,1/1/2004
2005,Espirito Santo,April,5,1/1/2005
2006,Espirito Santo,April,0,1/1/2006
2007,Espirito Santo,April,1,1/1/2007
2008,Espirito Santo,April,2,1/1/2008
2009,Espirito Santo,April,7,1/1/2009
2010,Espirito Santo,April,3,1/1/2010
2011,Espirito Santo,April,2,1/1/2011
2012,Espirito Santo,April,20,1/1/2012
2013,Espirito Santo,April,14,1/1/2013
2014,Espirito Santo,April,18,1/1/2014
2015,Espirito Santo,April,17,1/1/2015
2016,Espirito Santo,April,48,1/1/2016
2017,Espirito Santo,April,10,1/1/2017
1998,Espirito Santo,April,6,1/1/1998
1999,Espirito Santo,April,6,1/1/1999
2000,Espirito Santo,April,9,1/1/2000
2001,Espirito Santo,April,9,1/1/2001
2002,Espirito Santo,April,18,1/1/2002
2003,Espirito Santo,April,19,1/1/2003
2004,Espirito Santo,April,3,1/1/2004
2005,Espirito Santo,April,8,1/1/2005
2006,Espirito Santo,April,5,1/1/2006
2007,Espirito Santo,April,4,1/1/2007
2008,Espirito Santo,April,4,1/1/2008
2009,Espirito Santo,April,12,1/1/2009
2010,Espirito Santo,April,3,1/1/2010
2011,Espirito Santo,April,7,1/1/2011
2012,Espirito Santo,April,15,1/1/2012
2013,Espirito Santo,April,22,1/1/2013
2014,Espirito Santo,April,9,1/1/2014
2015,Espirito Santo,April,18,1/1/2015
2016,Espirito Santo,April,49,1/1/2016
2017,Espirito Santo,April,37,1/1/2017
1998,Espirito Santo,April,37,1/1/1998
1999,Espirito Santo,April,9,1/1/1999
2000,Espirito Santo,April,16,1/1/2000
2001,Espirito Santo,April,12,1/1/2001
2002,Espirito Santo,April,9,1/1/2002
2003,Espirito Santo,April,27,1/1/2003
2004,Espirito Santo,April,4,1/1/2004
2005,Espirito Santo,April,9,1/1/2005
2006,Espirito Santo,April,11,1/1/2006
2007,Espirito Santo,April,13,1/1/2007
2008,Espirito Santo,April,5,1/1/2008
2009,Espirito Santo,April,25,1/1/2009
2010,Espirito Santo,April,5,1/1/2010
2011,Espirito Santo,April,18,1/1/2011
2012,Espirito Santo,April,35,1/1/2012
2013,Espirito Santo,April,20,1/1/2013
2014,Espirito Santo,April,17,1/1/2014
2015,Espirito Santo,April,30,1/1/2015
2016,Espirito Santo,April,42,1/1/2016
2017,Espirito Santo,April,3,1/1/2017
1998,Espirito Santo,April,38,1/1/1998
1999,Espirito Santo,April,60,1/1/1999
2000,Espirito Santo,April,26,1/1/2000
2001,Espirito Santo,April,30,1/1/2001
2002,Espirito Santo,April,60,1/1/2002
2003,Espirito Santo,April,118,1/1/2003
2004,Espirito Santo,April,12,1/1/2004
2005,Espirito Santo,April,12,1/1/2005
2006,Espirito Santo,April,29,1/1/2006
2007,Espirito Santo,April,82,1/1/2007
2008,Espirito Santo,April,13,1/1/2008
2009,Espirito Santo,April,17,1/1/2009
2010,Espirito Santo,April,39,1/1/2010
2011,Espirito Santo,April,93,1/1/2011
2012,Espirito Santo,April,12,1/1/2012
2013,Espirito Santo,April,53,1/1/2013
2014,Espirito Santo,April,47,1/1/2014
2015,Espirito Santo,April,35,1/1/2015
2016,Espirito Santo,April,78,1/1/2016
2017,Espirito Santo,April,30,1/1/2017
1998,Espirito Santo,April,108,1/1/1998
1999,Espirito Santo,April,64,1/1/1999
2000,Espirito Santo,April,14,1/1/2000
2001,Espirito Santo,April,38,1/1/2001
2002,Espirito Santo,April,46,1/1/2002
2003,Espirito Santo,April,252,1/1/2003
2004,Espirito Santo,April,47,1/1/2004
2005,Espirito Santo,April,8,1/1/2005
2006,Espirito Santo,April,87,1/1/2006
2007,Espirito Santo,April,63,1/1/2007
2008,Espirito Santo,April,78,1/1/2008
2009,Espirito Santo,April,57,1/1/2009
2010,Espirito Santo,April,53,1/1/2010
2011,Espirito Santo,April,108,1/1/2011
2012,Espirito Santo,April,48,1/1/2012
2013,Espirito Santo,April,30,1/1/2013
2014,Espirito Santo,April,61,1/1/2014
2015,Espirito Santo,April,228,1/1/2015
2016,Espirito Santo,April,128,1/1/2016
2017,Espirito Santo,April,58,1/1/2017
1998,Espirito Santo,April,20,1/1/1998
1999,Espirito Santo,April,23,1/1/1999
2000,Espirito Santo,April,88,1/1/2000
2001,Espirito Santo,April,19,1/1/2001
2002,Espirito Santo,April,113,1/1/2002
2003,Espirito Santo,April,159,1/1/2003
2004,Espirito Santo,April,48,1/1/2004
2005,Espirito Santo,April,62,1/1/2005
2006,Espirito Santo,April,10,1/1/2006
2007,Espirito Santo,April,79,1/1/2007
2008,Espirito Santo,April,100,1/1/2008
2009,Espirito Santo,April,13,1/1/2009
2010,Espirito Santo,April,32,1/1/2010
2011,Espirito Santo,April,38,1/1/2011
2012,Espirito Santo,April,62,1/1/2012
2013,Espirito Santo,April,37,1/1/2013
2014,Espirito Santo,April,89,1/1/2014
2015,Espirito Santo,April,307,1/1/2015
2016,Espirito Santo,April,58,1/1/2016
2017,Espirito Santo,April,56,1/1/2017
1998,Espirito Santo,April,4,1/1/1998
1999,Espirito Santo,April,9,1/1/1999
2000,Espirito Santo,April,3,1/1/2000
2001,Espirito Santo,April,3,1/1/2001
2002,Espirito Santo,April,22,1/1/2002
2003,Espirito Santo,April,49,1/1/2003
2004,Espirito Santo,April,42,1/1/2004
2005,Espirito Santo,April,0,1/1/2005
2006,Espirito Santo,April,0,1/1/2006
2007,Espirito Santo,April,112,1/1/2007
2008,Espirito Santo,April,3,1/1/2008
2009,Espirito Santo,April,18,1/1/2009
2010,Espirito Santo,April,3,1/1/2010
2011,Espirito Santo,April,6,1/1/2011
2012,Espirito Santo,April,7,1/1/2012
2013,Espirito Santo,April,11,1/1/2013
2014,Espirito Santo,April,20,1/1/2014
2015,Espirito Santo,April,141,1/1/2015
2016,Espirito Santo,April,8,1/1/2016
2017,Espirito Santo,April,3,1/1/2017
1998,Espirito Santo,April,5,1/1/1998
1999,Espirito Santo,April,0,1/1/1999
2000,Espirito Santo,April,3,1/1/2000
2001,Espirito Santo,April,1,1/1/2001
2002,Espirito Santo,April,12,1/1/2002
2003,Espirito Santo,April,18,1/1/2003
2004,Espirito Santo,April,9,1/1/2004
2005,Espirito Santo,April,5,1/1/2005
2006,Espirito Santo,April,0,1/1/2006
2007,Espirito Santo,April,14,1/1/2007
2008,Espirito Santo,April,1,1/1/2008
2009,Espirito Santo,April,32,1/1/2009
2010,Espirito Santo,April,10,1/1/2010
2011,Espirito Santo,April,1,1/1/2011
2012,Espirito Santo,April,18,1/1/2012
2013,Espirito Santo,April,9,1/1/2013
2014,Espirito Santo,April,28,1/1/2014
2015,Espirito Santo,April,61,1/1/2015
2016,Espirito Santo,April,12,1/1/2016
1998,Goias,April,0,1/1/1998
1999,Goias,April,14,1/1/1999
2000,Goias,April,10,1/1/2000
2001,Goias,April,29,1/1/2001
2002,Goias,April,12,1/1/2002
2003,Goias,April,14,1/1/2003
2004,Goias,April,10,1/1/2004
2005,Goias,April,27,1/1/2005
2006,Goias,April,85,1/1/2006
2007,Goias,April,28,1/1/2007
2008,Goias,April,23,1/1/2008
2009,Goias,April,30,1/1/2009
2010,Goias,April,59,1/1/2010
2011,Goias,April,39,1/1/2011
2012,Goias,April,21,1/1/2012
2013,Goias,April,33,1/1/2013
2014,Goias,April,80,1/1/2014
2015,Goias,April,118,1/1/2015
2016,Goias,April,52,1/1/2016
2017,Goias,April,53,1/1/2017
1998,Goias,April,0,1/1/1998
1999,Goias,April,334,1/1/1999
2000,Goias,April,11,1/1/2000
2001,Goias,April,9,1/1/2001
2002,Goias,April,9,1/1/2002
2003,Goias,April,47,1/1/2003
2004,Goias,April,11,1/1/2004
2005,Goias,April,84,1/1/2005
2006,Goias,April,21,1/1/2006
2007,Goias,April,13,1/1/2007
2008,Goias,April,25,1/1/2008
2009,Goias,April,29,1/1/2009
2010,Goias,April,86,1/1/2010
2011,Goias,April,45,1/1/2011
2012,Goias,April,37,1/1/2012
2013,Goias,April,86,1/1/2013
2014,Goias,April,44,1/1/2014
2015,Goias,April,53,1/1/2015
2016,Goias,April,117,1/1/2016
2017,Goias,April,75,1/1/2017
1998,Goias,April,0,1/1/1998
1999,Goias,April,1,1/1/1999
2000,Goias,April,4,1/1/2000
2001,Goias,April,10,1/1/2001
2002,Goias,April,48,1/1/2002
2003,Goias,April,29,1/1/2003
2004,Goias,April,36,1/1/2004
2005,Goias,April,36,1/1/2005
2006,Goias,April,29,1/1/2006
2007,Goias,April,49,1/1/2007
2008,Goias,April,20,1/1/2008
2009,Goias,April,32,1/1/2009
2010,Goias,April,65,1/1/2010
2011,Goias,April,19,1/1/2011
2012,Goias,April,57,1/1/2012
2013,Goias,April,79,1/1/2013
2014,Goias,April,80,1/1/2014
2015,Goias,April,76,1/1/2015
2016,Goias,April,136,1/1/2016
2017,Goias,April,115,1/1/2017
1998,Goias,April,0,1/1/1998
1999,Goias,April,25,1/1/1999
2000,Goias,April,16,1/1/2000
2001,Goias,April,49,1/1/2001
2002,Goias,April,78,1/1/2002
2003,Goias,April,87,1/1/2003
2004,Goias,April,32,1/1/2004
2005,Goias,April,55,1/1/2005
2006,Goias,April,22,1/1/2006
2007,Goias,April,17,1/1/2007
2008,Goias,April,36,1/1/2008
2009,Goias,April,11,1/1/2009
2010,Goias,April,105,1/1/2010
2011,Goias,April,71,1/1/2011
2012,Goias,April,89,1/1/2012
2013,Goias,April,42,1/1/2013
2014,Goias,April,138,1/1/2014
2015,Goias,April,89,1/1/2015
2016,Goias,April,167,1/1/2016
2017,Goias,April,60,1/1/2017
1998,Goias,April,0,1/1/1998
1999,Goias,April,99,1/1/1999
2000,Goias,April,58,1/1/2000
2001,Goias,April,85,1/1/2001
2002,Goias,April,171,1/1/2002
2003,Goias,April,57,1/1/2003
2004,Goias,April,157,1/1/2004
2005,Goias,April,164,1/1/2005
2006,Goias,April,33,1/1/2006
2007,Goias,April,94,1/1/2007
2008,Goias,April,41,1/1/2008
2009,Goias,April,104,1/1/2009
2010,Goias,April,239,1/1/2010
2011,Goias,April,136,1/1/2011
2012,Goias,April,103,1/1/2012
2013,Goias,April,150,1/1/2013
2014,Goias,April,210,1/1/2014
2015,Goias,April,129,1/1/2015
2016,Goias,April,233,1/1/2016
2017,Goias,April,135,1/1/2017
1998,Goias,April,172,1/1/1998
1999,Goias,April,250,1/1/1999
2000,Goias,April,222,1/1/2000
2001,Goias,April,212,1/1/2001
2002,Goias,April,302,1/1/2002
2003,Goias,April,321,1/1/2003
2004,Goias,April,422,1/1/2004
2005,Goias,April,189,1/1/2005
2006,Goias,April,70,1/1/2006
2007,Goias,April,186,1/1/2007
2008,Goias,April,55,1/1/2008
2009,Goias,April,179,1/1/2009
2010,Goias,April,278,1/1/2010
2011,Goias,April,314,1/1/2011
2012,Goias,April,245,1/1/2012
2013,Goias,April,192,1/1/2013
2014,Goias,April,318,1/1/2014
2015,Goias,April,277,1/1/2015
2016,Goias,April,289,1/1/2016
2017,Goias,April,442,1/1/2017
1998,Goias,April,512,1/1/1998
1999,Goias,April,311,1/1/1999
2000,Goias,April,332,1/1/2000
2001,Goias,April,371,1/1/2001
2002,Goias,April,686,1/1/2002
2003,Goias,April,322,1/1/2003
2004,Goias,April,778,1/1/2004
2005,Goias,April,363,1/1/2005
2006,Goias,April,169,1/1/2006
2007,Goias,April,399,1/1/2007
2008,Goias,April,193,1/1/2008
2009,Goias,April,470,1/1/2009
2010,Goias,April,941,1/1/2010
2011,Goias,April,607,1/1/2011
2012,Goias,April,564,1/1/2012
2013,Goias,April,350,1/1/2013
2014,Goias,April,446,1/1/2014
2015,Goias,April,347,1/1/2015
2016,Goias,April,837,1/1/2016
2017,Goias,April,577,1/1/2017
1998,Goias,April,2.218,1/1/1998
1999,Goias,April,1.198,1/1/1999
2000,Goias,April,925,1/1/2000
2001,Goias,April,787,1/1/2001
2002,Goias,April,1.428,1/1/2002
2003,Goias,April,902,1/1/2003
2004,Goias,April,1.498,1/1/2004
2005,Goias,April,639,1/1/2005
2006,Goias,April,588,1/1/2006
2007,Goias,April,2.382,1/1/2007
2008,Goias,April,568,1/1/2008
2009,Goias,April,647,1/1/2009
2010,Goias,April,2.914,1/1/2010
2011,Goias,April,1.613,1/1/2011
2012,Goias,April,912,1/1/2012
2013,Goias,April,488,1/1/2013
2014,Goias,April,1.255,1/1/2014
2015,Goias,April,943,1/1/2015
2016,Goias,April,1.032,1/1/2016
2017,Goias,April,1.492,1/1/2017
1998,Goias,April,2.867,1/1/1998
1999,Goias,April,1.898,1/1/1999
2000,Goias,April,1.293,1/1/2000
2001,Goias,April,1.863,1/1/2001
2002,Goias,April,3.52,1/1/2002
2003,Goias,April,1.662,1/1/2003
2004,Goias,April,2.965,1/1/2004
2005,Goias,April,1.341,1/1/2005
2006,Goias,April,1.463,1/1/2006
2007,Goias,April,3.745,1/1/2007
2008,Goias,April,1.255,1/1/2008
2009,Goias,April,685,1/1/2009
2010,Goias,April,5.075,1/1/2010
2011,Goias,April,2.259,1/1/2011
2012,Goias,April,2.452,1/1/2012
2013,Goias,April,684,1/1/2013
2014,Goias,April,1.687,1/1/2014
2015,Goias,April,2.296,1/1/2015
2016,Goias,April,1.703,1/1/2016
2017,Goias,April,3.238,1/1/2017
1998,Goias,April,1.034,1/1/1998
1999,Goias,April,743,1/1/1999
2000,Goias,April,905,1/1/2000
2001,Goias,April,479,1/1/2001
2002,Goias,April,1.367,1/1/2002
2003,Goias,April,1.183,1/1/2003
2004,Goias,April,1.275,1/1/2004
2005,Goias,April,1.717,1/1/2005
2006,Goias,April,178,1/1/2006
2007,Goias,April,1.195,1/1/2007
2008,Goias,April,1.231,1/1/2008
2009,Goias,April,367,1/1/2009
2010,Goias,April,1.227,1/1/2010
2011,Goias,April,476,1/1/2011
2012,Goias,April,1.524,1/1/2012
2013,Goias,April,606,1/1/2013
2014,Goias,April,1.947,1/1/2014
2015,Goias,April,1.807,1/1/2015
2016,Goias,April,522,1/1/2016
2017,Goias,April,2.401,1/1/2017
1998,Goias,April,47,1/1/1998
1999,Goias,April,110,1/1/1999
2000,Goias,April,26,1/1/2000
2001,Goias,April,15,1/1/2001
2002,Goias,April,192,1/1/2002
2003,Goias,April,168,1/1/2003
2004,Goias,April,291,1/1/2004
2005,Goias,April,144,1/1/2005
2006,Goias,April,91,1/1/2006
2007,Goias,April,79,1/1/2007
2008,Goias,April,90,1/1/2008
2009,Goias,April,89,1/1/2009
2010,Goias,April,67,1/1/2010
2011,Goias,April,59,1/1/2011
2012,Goias,April,57,1/1/2012
2013,Goias,April,183,1/1/2013
2014,Goias,April,181,1/1/2014
2015,Goias,April,547,1/1/2015
2016,Goias,April,123,1/1/2016
2017,Goias,April,117,1/1/2017
1998,Goias,April,13,1/1/1998
1999,Goias,April,20,1/1/1999
2000,Goias,April,6,1/1/2000
2001,Goias,April,18,1/1/2001
2002,Goias,April,115,1/1/2002
2003,Goias,April,129,1/1/2003
2004,Goias,April,56,1/1/2004
2005,Goias,April,5,1/1/2005
2006,Goias,April,7,1/1/2006
2007,Goias,April,16,1/1/2007
2008,Goias,April,6,1/1/2008
2009,Goias,April,39,1/1/2009
2010,Goias,April,48,1/1/2010
2011,Goias,April,39,1/1/2011
2012,Goias,April,93,1/1/2012
2013,Goias,April,86,1/1/2013
2014,Goias,April,68,1/1/2014
2015,Goias,April,179,1/1/2015
2016,Goias,April,64,1/1/2016
1998,Maranhao,April,0,1/1/1998
1999,Maranhao,April,54,1/1/1999
2000,Maranhao,April,19,1/1/2000
2001,Maranhao,April,29,1/1/2001
2002,Maranhao,April,48,1/1/2002
2003,Maranhao,April,436,1/1/2003
2004,Maranhao,April,241,1/1/2004
2005,Maranhao,April,450,1/1/2005
2006,Maranhao,April,221,1/1/2006
2007,Maranhao,April,428,1/1/2007
2008,Maranhao,April,121,1/1/2008
2009,Maranhao,April,240,1/1/2009
2010,Maranhao,April,319,1/1/2010
2011,Maranhao,April,124,1/1/2011
2012,Maranhao,April,326,1/1/2012
2013,Maranhao,April,209,1/1/2013
2014,Maranhao,April,195,1/1/2014
2015,Maranhao,April,494,1/1/2015
2016,Maranhao,April,412,1/1/2016
2017,Maranhao,April,187,1/1/2017
1998,Maranhao,April,0,1/1/1998
1999,Maranhao,April,6,1/1/1999
2000,Maranhao,April,11,1/1/2000
2001,Maranhao,April,1,1/1/2001
2002,Maranhao,April,116,1/1/2002
2003,Maranhao,April,11,1/1/2003
2004,Maranhao,April,22,1/1/2004
2005,Maranhao,April,56,1/1/2005
2006,Maranhao,April,22,1/1/2006
2007,Maranhao,April,13,1/1/2007
2008,Maranhao,April,45,1/1/2008
2009,Maranhao,April,20,1/1/2009
2010,Maranhao,April,93,1/1/2010
2011,Maranhao,April,9,1/1/2011
2012,Maranhao,April,46,1/1/2012
2013,Maranhao,April,62,1/1/2013
2014,Maranhao,April,29,1/1/2014
2015,Maranhao,April,95,1/1/2015
2016,Maranhao,April,318,1/1/2016
2017,Maranhao,April,47,1/1/2017
1998,Maranhao,April,0,1/1/1998
1999,Maranhao,April,17,1/1/1999
2000,Maranhao,April,6,1/1/2000
2001,Maranhao,April,0,1/1/2001
2002,Maranhao,April,16,1/1/2002
2003,Maranhao,April,16,1/1/2003
2004,Maranhao,April,18,1/1/2004
2005,Maranhao,April,9,1/1/2005
2006,Maranhao,April,14,1/1/2006
2007,Maranhao,April,52,1/1/2007
2008,Maranhao,April,4,1/1/2008
2009,Maranhao,April,33,1/1/2009
2010,Maranhao,April,82,1/1/2010
2011,Maranhao,April,22,1/1/2011
2012,Maranhao,April,49,1/1/2012
2013,Maranhao,April,30,1/1/2013
2014,Maranhao,April,59,1/1/2014
2015,Maranhao,April,53,1/1/2015
2016,Maranhao,April,113,1/1/2016
2017,Maranhao,April,32,1/1/2017
1998,Maranhao,April,0,1/1/1998
1999,Maranhao,April,4,1/1/1999
2000,Maranhao,April,6,1/1/2000
2001,Maranhao,April,2,1/1/2001
2002,Maranhao,April,28,1/1/2002
2003,Maranhao,April,79,1/1/2003
2004,Maranhao,April,44,1/1/2004
2005,Maranhao,April,43,1/1/2005
2006,Maranhao,April,9,1/1/2006
2007,Maranhao,April,5,1/1/2007
2008,Maranhao,April,26,1/1/2008
2009,Maranhao,April,14,1/1/2009
2010,Maranhao,April,128,1/1/2010
2011,Maranhao,April,37,1/1/2011
2012,Maranhao,April,97,1/1/2012
2013,Maranhao,April,62,1/1/2013
2014,Maranhao,April,78,1/1/2014
2015,Maranhao,April,119,1/1/2015
2016,Maranhao,April,113,1/1/2016
2017,Maranhao,April,91,1/1/2017
1998,Maranhao,April,0,1/1/1998
1999,Maranhao,April,3,1/1/1999
2000,Maranhao,April,28,1/1/2000
2001,Maranhao,April,21,1/1/2001
2002,Maranhao,April,71,1/1/2002
2003,Maranhao,April,60,1/1/2003
2004,Maranhao,April,145,1/1/2004
2005,Maranhao,April,74,1/1/2005
2006,Maranhao,April,5,1/1/2006
2007,Maranhao,April,73,1/1/2007
2008,Maranhao,April,26,1/1/2008
2009,Maranhao,April,19,1/1/2009
2010,Maranhao,April,273,1/1/2010
2011,Maranhao,April,73,1/1/2011
2012,Maranhao,April,286,1/1/2012
2013,Maranhao,April,100,1/1/2013
2014,Maranhao,April,148,1/1/2014
2015,Maranhao,April,194,1/1/2015
2016,Maranhao,April,206,1/1/2016
2017,Maranhao,April,142,1/1/2017
1998,Maranhao,April,78,1/1/1998
1999,Maranhao,April,32,1/1/1999
2000,Maranhao,April,94,1/1/2000
2001,Maranhao,April,100,1/1/2001
2002,Maranhao,April,230,1/1/2002
2003,Maranhao,April,338,1/1/2003
2004,Maranhao,April,706,1/1/2004
2005,Maranhao,April,529,1/1/2005
2006,Maranhao,April,131,1/1/2006
2007,Maranhao,April,515,1/1/2007
2008,Maranhao,April,235,1/1/2008
2009,Maranhao,April,279,1/1/2009
2010,Maranhao,April,494,1/1/2010
2011,Maranhao,April,602,1/1/2011
2012,Maranhao,April,915,1/1/2012
2013,Maranhao,April,498,1/1/2013
2014,Maranhao,April,812,1/1/2014
2015,Maranhao,April,887,1/1/2015
2016,Maranhao,April,709,1/1/2016
2017,Maranhao,April,885,1/1/2017
1998,Maranhao,April,274,1/1/1998
1999,Maranhao,April,258,1/1/1999
2000,Maranhao,April,233,1/1/2000
2001,Maranhao,April,549,1/1/2001
2002,Maranhao,April,1.271,1/1/2002
2003,Maranhao,April,1.103,1/1/2003
2004,Maranhao,April,1.366,1/1/2004
2005,Maranhao,April,1.152,1/1/2005
2006,Maranhao,April,512,1/1/2006
2007,Maranhao,April,1.205,1/1/2007
2008,Maranhao,April,502,1/1/2008
2009,Maranhao,April,972,1/1/2009
2010,Maranhao,April,2.323,1/1/2010
2011,Maranhao,April,1.024,1/1/2011
2012,Maranhao,April,3.548,1/1/2012
2013,Maranhao,April,1.111,1/1/2013
2014,Maranhao,April,2.068,1/1/2014
2015,Maranhao,April,1.642,1/1/2015
2016,Maranhao,April,2.096,1/1/2016
2017,Maranhao,April,2.521,1/1/2017
1998,Maranhao,April,1.176,1/1/1998
1999,Maranhao,April,895,1/1/1999
2000,Maranhao,April,839,1/1/2000
2001,Maranhao,April,2.037,1/1/2001
2002,Maranhao,April,3.481,1/1/2002
2003,Maranhao,April,2.023,1/1/2003
2004,Maranhao,April,1.889,1/1/2004
2005,Maranhao,April,2.239,1/1/2005
2006,Maranhao,April,1.382,1/1/2006
2007,Maranhao,April,8.409,1/1/2007
2008,Maranhao,April,713,1/1/2008
2009,Maranhao,April,1.766,1/1/2009
2010,Maranhao,April,6.353,1/1/2010
2011,Maranhao,April,2.138,1/1/2011
2012,Maranhao,April,10.395,1/1/2012
2013,Maranhao,April,2.098,1/1/2013
2014,Maranhao,April,5.592,1/1/2014
2015,Maranhao,April,5.428,1/1/2015
2016,Maranhao,April,3.723,1/1/2016
2017,Maranhao,April,3.875,1/1/2017
1998,Maranhao,April,3.935,1/1/1998
1999,Maranhao,April,1.739,1/1/1999
2000,Maranhao,April,1.365,1/1/2000
2001,Maranhao,April,4.618,1/1/2001
2002,Maranhao,April,3.181,1/1/2002
2003,Maranhao,April,5.878,1/1/2003
2004,Maranhao,April,4.673,1/1/2004
2005,Maranhao,April,6.292,1/1/2005
2006,Maranhao,April,2.907,1/1/2006
2007,Maranhao,April,8.524,1/1/2007
2008,Maranhao,April,2.761,1/1/2008
2009,Maranhao,April,2.404,1/1/2009
2010,Maranhao,April,9.795,1/1/2010
2011,Maranhao,April,4.632,1/1/2011
2012,Maranhao,April,7.626,1/1/2012
2013,Maranhao,April,3.88,1/1/2013
2014,Maranhao,April,4.373,1/1/2014
2015,Maranhao,April,6.423,1/1/2015
2016,Maranhao,April,3.166,1/1/2016
2017,Maranhao,April,14.825,1/1/2017
1998,Maranhao,April,5.137,1/1/1998
1999,Maranhao,April,3.208,1/1/1999
2000,Maranhao,April,2.654,1/1/2000
2001,Maranhao,April,6.661,1/1/2001
2002,Maranhao,April,5.182,1/1/2002
2003,Maranhao,April,6.085,1/1/2003
2004,Maranhao,April,3.604,1/1/2004
2005,Maranhao,April,6.472,1/1/2005
2006,Maranhao,April,3.024,1/1/2006
2007,Maranhao,April,4.772,1/1/2007
2008,Maranhao,April,3.498,1/1/2008
2009,Maranhao,April,1.861,1/1/2009
2010,Maranhao,April,3.228,1/1/2010
2011,Maranhao,April,2.404,1/1/2011
2012,Maranhao,April,5,1/1/2012
2013,Maranhao,April,2.918,1/1/2013
2014,Maranhao,April,5.812,1/1/2014
2015,Maranhao,April,6.746,1/1/2015
2016,Maranhao,April,5.351,1/1/2016
2017,Maranhao,April,6.011,1/1/2017
1998,Maranhao,April,2.237,1/1/1998
1999,Maranhao,April,1.494,1/1/1999
2000,Maranhao,April,2.267,1/1/2000
2001,Maranhao,April,3.525,1/1/2001
2002,Maranhao,April,5.83,1/1/2002
2003,Maranhao,April,4.929,1/1/2003
2004,Maranhao,April,6.398,1/1/2004
2005,Maranhao,April,4.769,1/1/2005
2006,Maranhao,April,2.004,1/1/2006
2007,Maranhao,April,2.297,1/1/2007
2008,Maranhao,April,2.331,1/1/2008
2009,Maranhao,April,5,1/1/2009
2010,Maranhao,April,4.005,1/1/2010
2011,Maranhao,April,2.261,1/1/2011
2012,Maranhao,April,2.01,1/1/2012
2013,Maranhao,April,2.529,1/1/2013
2014,Maranhao,April,3.869,1/1/2014
2015,Maranhao,April,4.35,1/1/2015
2016,Maranhao,April,3.982,1/1/2016
2017,Maranhao,April,2.3,1/1/2017
1998,Maranhao,April,1.399,1/1/1998
1999,Maranhao,April,1.001,1/1/1999
2000,Maranhao,April,1.461,1/1/2000
2001,Maranhao,April,1.296,1/1/2001
2002,Maranhao,April,2.165,1/1/2002
2003,Maranhao,April,2.424,1/1/2003
2004,Maranhao,April,3.255,1/1/2004
2005,Maranhao,April,1.66,1/1/2005
2006,Maranhao,April,1.052,1/1/2006
2007,Maranhao,April,800,1/1/2007
2008,Maranhao,April,1.101,1/1/2008
2009,Maranhao,April,1.768,1/1/2009
2010,Maranhao,April,1.803,1/1/2010
2011,Maranhao,April,1.629,1/1/2011
2012,Maranhao,April,1.296,1/1/2012
2013,Maranhao,April,2.692,1/1/2013
2014,Maranhao,April,2.4,1/1/2014
2015,Maranhao,April,3.706,1/1/2015
2016,Maranhao,April,1.577,1/1/2016
1998,Mato Grosso,April,0,1/1/1998
1999,Mato Grosso,April,39,1/1/1999
2000,Mato Grosso,April,44,1/1/2000
2001,Mato Grosso,April,44,1/1/2001
2002,Mato Grosso,April,172,1/1/2002
2003,Mato Grosso,April,896,1/1/2003
2004,Mato Grosso,April,301,1/1/2004
2005,Mato Grosso,April,438,1/1/2005
2006,Mato Grosso,April,947,1/1/2006
2007,Mato Grosso,April,476,1/1/2007
2008,Mato Grosso,April,245,1/1/2008
2009,Mato Grosso,April,527,1/1/2009
2010,Mato Grosso,April,298,1/1/2010
2011,Mato Grosso,April,171,1/1/2011
2012,Mato Grosso,April,166,1/1/2012
2013,Mato Grosso,April,269,1/1/2013
2014,Mato Grosso,April,315,1/1/2014
2015,Mato Grosso,April,960,1/1/2015
2016,Mato Grosso,April,374,1/1/2016
2017,Mato Grosso,April,482,1/1/2017
1998,Mato Grosso,April,0,1/1/1998
1999,Mato Grosso,April,28,1/1/1999
2000,Mato Grosso,April,35,1/1/2000
